"_federal_accountability_status"	overall_grade	additional_credit	environment_grade	peer_index_	overall_score	principal	progress_category_score	dbn	_progress_report_grade	school	environment_category_score	performance_category_score	progress_grade	district	progress_report_type	performance_grade	_quality_review_score	school_level_	_school_support_organization
In Good Standing	B	0	A	3.79	57.8	Raymond Peterson	31	01M696	B	BARD HIGH SCHOOL EARLY COLLEGE	10.9	15.9	B	1	HS	B	Proficient	High School	ESO
In Good Standing	A	3	A	3.35	82.4	Mark Pingitore	45.8	01M839	A	TOMPKINS SQUARE MIDDLE SCHOOL	13.6	20	A	1	ESMS	A	Well Developed	Middle School	ESO
In Good Standing	B	0	C	40.34	56.9	Amy Hom	33.4	02M001	C	P.S. 001 ALFRED E. SMITH	6.1	17.4	A	2	ESMS	A	Proficient	Elementary School	ICI
In Good Standing	A	1.5	B	39.62	73	Brett Gustafson	46.2	02M002	B	P.S. 002 MEYER LONDON	8.2	17.1	A	2	ESMS	A	Proficient	Elementary School	ICI
Requiring Academic Progress - Year 1	B	1.5	A	18.64	58.9	Lisa Siegman	32	02M003	B	P.S. 003 CHARRETTE SCHOOL	10.4	15	B	2	ESMS	B	Well Developed	Elementary School	ICI
In Good Standing	B	0	C	11.78	58.4	Lauren Fontana	36.6	02M006	B	P.S. 006 LILLIE D. BLAKE	6.3	15.5	A	2	ESMS	B	Well Developed	Elementary School	ESO
In Good Standing	B	0.75	A	43.85	47.8	Robert Bender	21	02M011	C	P.S. 011 WILLIAM T. HARRIS	11.2	14.8	C	2	ESMS	B	Well Developed	Elementary School	ICI
In Good Standing	A	3	A	51.88	86.5	Linore Lindy	47.8	02M033	F	P.S. 033 CHELSEA PREP	12.6	23.1	A	2	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	B	1.5	B	15.39	59.3	Susan Felder	31.7	02M040	A	P.S. 040 AUGUSTUS SAINT-GAUDENS	8.9	17.2	B	2	ESMS	A	Well Developed	Elementary School	ESO
In Good Standing	A	1.5	A	14.34	60.3	Kelly Shannon	29.8	02M041	B	P.S. 041 GREENWICH VILLAGE	12	17	B	2	ESMS	A	Well Developed	Elementary School	ICI
